gisaid_epi_isl,strain,date,host
EPI_ISL_430814,Argentina/PAIS-A0023/2020,2020-04-17,Human
EPI_ISL_1160086,USA/NH-CDC-LC0017036/2021,2021-02-09,Human
EPI_ISL_956096,USA/OH-PLMI-J6HBW-473/2020,2020-03,Human
EPI_ISL_1586274,Iceland/797/2020,2020-04-08,Human
EPI_ISL_1322740,Belgium/rega-3909/2021,2021-02-22,Human
EPI_ISL_547020,USA/TX-HMH-5794/2020,2020-06-30,Human
EPI_ISL_428860,Russia/Moscow-62505/2020,2020-03-11,Human
EPI_ISL_1183698,USA/UT-UPHL-2103818054/2021,2021-01-24,Human
EPI_ISL_780423,USA/OH-ODH-SC35344/2020,2020-04-24,Human
EPI_ISL_683135,mink/Denmark/mDK-285/2020,2020-11-10,Mink
EPI_ISL_5254102,USA/CO-CDPHE-2005211515/2020,2020-05-21,Human
EPI_ISL_3078996,England/OXON-FA24AB/2020,2020-09-28,Human
EPI_ISL_2329566,USA/CA-SEARCH-100063/2020,2020-06-19,Human
EPI_ISL_8207139,monkey/USA/LA-MAN0002A19/2020,2020-06-15,Chlorocebus sabaeus
EPI_ISL_1531536,USA/OR-OSPHL00143/2021,2021-01-01,Human
EPI_ISL_7102867,Spain/MC-HCUVA-15128271/2021,2021,Human
EPI_ISL_1032235,USA/WV-CDC-LC0009294/2021,2021-01-23,Human
EPI_ISL_785806,USA/TX-HMH-MCoV-16122/2020,2020-10-28,Human
EPI_ISL_2861249,USA/PA-CDC-4042227-001/2021,2021-02-17,Human
EPI_ISL_1114188,USA/WA-S5031/2020,2020-11-08,Human
EPI_ISL_979187,USA/CA-CZB-19237/2020,2020-12-17,Human
EPI_ISL_3032890,Turkey/HSGM-B4500/2021,2021-03-31,Human
EPI_ISL_578741,USA/LA-EVTL335/2020,2020-05-21,Human
EPI_ISL_485110,USA/LA-GBCL-26544524/2020,2020-04-20,Human
EPI_ISL_3637436,USA/CA-CDPH-2000007410/2020,2020-12-10,Human
EPI_ISL_5867587,tiger/USA/OH-21-028714-001/2021,2021-09-15,Panthera tigris tigris
EPI_ISL_8707108,Denmark/DCGC-312301/2022,2022-01-07,Human
EPI_ISL_471733,USA/MI-MDHHS-SC20709/2020,2020-04-27,Human
EPI_ISL_736926,SouthAfrica/KRISP-CH01110731/2020,2020-11-26,Human
EPI_ISL_453188,Scotland/EDB5108/2020,2020-03-31,Human
EPI_ISL_2734100,England/CAMC-BBD0BC/2020,2020,Human
EPI_ISL_3047770,USA/WY-WYPHL-20121013/2020,2020-11-04,Human
EPI_ISL_2958986,cat/USA/KS-21-000218-001/2021,2021-01-04,Felis catus
EPI_ISL_2774686,India/TG-CCMB-CIA4851/2021,2021-06-03,Human
EPI_ISL_1016152,USA/NY-Wadsworth-21017574-01/2021,2021-01-17,Human
