gisaid_epi_isl,strain,date,host
EPI_ISL_683212,mink/Denmark/mDK-460/2020,2020-10-23,Mink
EPI_ISL_2855951,USA/UT-UPHL-210609538953/2021,2021-01-12,Human
EPI_ISL_5765268,Peru/TAC-INS-7838/2021,2021-09-28,Human
EPI_ISL_1419593,India/WB-1931500887681/2020,2020-10-26,Human
EPI_ISL_5443661,USA/CA-CDPH-2000015542/2020,2020-12-15,Human
EPI_ISL_759858,cat/HongKong/20-04236/2020,2020-03-30,Felis catus
EPI_ISL_2224170,USA/TX-HMH-MCoV-42293/2020,2020-07-10,Human
EPI_ISL_548447,USA/CA-CZB-3679/2020,2020-07-09,Human
EPI_ISL_1026636,USA/NJ-CDC-LC0003741/2021,2021-01-12,Human
EPI_ISL_1030499,USA/CA-CZB-19216/2020,2020-12-11,Human
EPI_ISL_581489,Congo/UKT-005/2020,2020-06-06,Human
EPI_ISL_979189,USA/CA-CZB-19239/2020,2020-12-17,Human
EPI_ISL_1014983,mink/USA/WI-CDC-3892589-001/2020,2020-10-13,Mink
EPI_ISL_1319620,USA/PA-CDC-LC0022239/2021,2021-02-28,Human
EPI_ISL_1171882,Turkey/HSGM-4585/2021,2021-02-17,Human
EPI_ISL_1091767,USA/OH-USAFSAM-S0705/2021,2021-02-05,Human
EPI_ISL_683171,mink/Denmark/mDK-322/2020,2020-11-14,Mink
EPI_ISL_862722,gorilla/USA/CA-ALSR-5742/2021,2021-01-10,Gorilla gorilla gorilla
EPI_ISL_2988043,Turkey/HSGM-B18504/2021,2021-06-28,Human
EPI_ISL_428205,USA/NE-907/2020,2020-03-25,Human
EPI_ISL_2628473,USA/SEARCH-101966/2020,2020-07-08,Human
EPI_ISL_2234047,USA/CA-CDPH467/2021,2021-01-13,Human
EPI_ISL_7845317,dog/USA/WA-DDL21-10981-4/2021,2021-07-15,Canis lupus familiaris
EPI_ISL_2200239,USA/TX-HMH-MCoV-33283/2020,2020-12-17,Human
EPI_ISL_468353,USA/CA-CZB-1317/2020,2020-05-16,Human
EPI_ISL_897732,Switzerland/GE-32954970/2021,2021-01-13,Human
EPI_ISL_471209,USA/WI-WSLH-200044/2020,2020-04-14,Human
EPI_ISL_1530866,USA/AZ-TG795438/2021,2021-01-15,Human
EPI_ISL_553719,England/ALDP-92D435/2020,2020-06-21,Human
EPI_ISL_1868737,Denmark/DCGC-60166/2021,2021-03-22,Human
EPI_ISL_830625,USA/NY-Wadsworth-21003885-01/2020,2020-12-31,Human
EPI_ISL_2710036,USA/TN-CDC-4167618-001/2021,2021-01-06,Human
EPI_ISL_2890457,USA/CA-CDPH-3000027211/2021,2021-03-03,Human
EPI_ISL_791598,USA/MA-MASPHL-00118/2020,2020-04-03,Human
EPI_ISL_483413,USA/CA-ALSR-0918-IPL/2020,2020-04-27,Human
EPI_ISL_3242569,Chile/RM-UNAB-0263-05165201/2021,2021-06-15,Human
EPI_ISL_8708199,England/PHEP-YYDRI6D/2021,2021,Human
EPI_ISL_3933408,USA/NY-PRL-2021_0623_52F09/2021,2021-01-29,Human
EPI_ISL_3669993,USA/CA-CDPH-2000025580/2021,2021-01-13,Human
EPI_ISL_500533,USA/CA-UW-MAYO53/2020,2020-03-27,Human
EPI_ISL_8630116,USA/CA-CDC-FG-229318/2021,2021-12-31,Human
EPI_ISL_2712506,USA/CA-SEARCH-102403/2021,2021-01-15,Human
EPI_ISL_2796739,USA/CA-CDPH-2000031388/2021,2021-01-16,Human
EPI_ISL_437529,USA/OR-OHSU-0005/2020,2020-04-09,Human
EPI_ISL_641416,mink/Denmark/mDK-23/2020,2020-10-27,Mink
EPI_ISL_3371132,USA/PA-M20156850/2020,2020-12-10,Human
EPI_ISL_1664744,Russia/SVE-RII-MH15082S/2021,2021-02-15,Human
EPI_ISL_1857383,USA/WY-WYPHL20165962/2020,2020-12-15,Human
EPI_ISL_2955539,USA/MD-MDH-2998/2021,2021-01-19,Human
EPI_ISL_2600449,USA/AZ-TG920980/2020,2020-10-23,Human
EPI_ISL_1663986,USA/CA-CZB-28818/2020,2020-11-25,Human
EPI_ISL_1712458,USA/CA-IGI-2080/2020,2020-12-14,Human
EPI_ISL_3246074,USA/WY-WYPHL-21026429/2021,2021-03-28,Human
EPI_ISL_452672,Spain/PV-IBV-000891/2020,2020-03-26,Human
EPI_ISL_410542,pangolin/Guangxi/P2V/2017,2017,Manis javanica
EPI_ISL_458340,England/BRIS-129835/2020,2020-03-31,Human
EPI_ISL_8542931,syrianhamster/India/MH-ICMR-MCL-21-11828-HAM1-lung-p2-vero-8235/2021,2021-11,Mesocricetus auratus
EPI_ISL_1379257,USA/NY-21-CoV-1534-VTM1-ADUC931/2021,2021-02-18,Human
EPI_ISL_7711655,CostaRica/CABANA-CR-UCR-INCIENSA-ITV-UBA-Uda-UGA-IMSS-UPC-2091-670455/2021,2021-05-26,Human
EPI_ISL_870793,Denmark/DCGC-33783/2021,2021-01-11,Human
EPI_ISL_1362911,USA/MO-MSPHL-000369/2020,2020-12-17,Human
EPI_ISL_8722414,Netherlands/ZH-EMC-4614/2021,2021,Human
EPI_ISL_5413994,USA/MD-HP10939-PIDMEBAVFG/2020,2020-11-07,Human
EPI_ISL_525812,USA/OR-OHSU-0454/2020,2020-06-09,Human
EPI_ISL_3503722,Mexico/CMX-INMEGEN-20-46/2021,2021-08-02,Human
EPI_ISL_1202606,USA/TX-HMH-MCoV-16895/2020,2020-07-11,Human
EPI_ISL_542282,Italy/LOM-UniMI-L343/2020,2020-03-04,Human
EPI_ISL_711985,Denmark/DCGC-14792/2020,2020-11-23,Human
EPI_ISL_769912,USA/WY-WPHL-20044555/2020,2020-07-16,Human
EPI_ISL_983300,USA/NY-Wadsworth-21007995-01/2021,2021-01-04,Human
EPI_ISL_420985,Wales/PHWC-252B4/2020,2020-03-23,Human
EPI_ISL_471467,pangolin/Guangdong/A22-2/2019,2019,Manis javanica
EPI_ISL_683233,mink/Denmark/mDK-487/2020,2020-10-22,Mink
EPI_ISL_824404,USA/CA-CDPH313/2020,2020-12-16,Human
EPI_ISL_5439272,USA/CO-CDPHE-2003140417/2020,2020-03-12,Human
EPI_ISL_7615941,USA/WY-WYPHL-20093627/2020,2020-10-09,Human
EPI_ISL_2212724,USA/TX-HMH-MCoV-37798/2020,2020-12-03,Human
EPI_ISL_2964690,Uruguay/CUY7-001455-UYMO/2021,2021-04-25,Human
EPI_ISL_1512503,USA/MI-CDC-STM-000038603/2021,2021-03-17,Human
EPI_ISL_1675326,Colombia/ANT-CWOHC-VG-SEC00178V/2021,2021-04-08,Human
EPI_ISL_1227281,USA/NY-Wadsworth-21017700-01/2020,2020-12-30,Human
EPI_ISL_603938,USA/FL-QDX-1620/2020,2020-03-16,Human
EPI_ISL_1372897,USA/ME-HETL-J2206/2021,2021-03-20,Human
EPI_ISL_3038897,Iran/GRC-T-I-11-182/2021,2021-02-12,Human
EPI_ISL_4750005,USA/CO-CDPHE-2010222585/2020,2020-10-19,Human
EPI_ISL_1528838,USA/WV-WVU-WV090526/2021,2021-01-09,Human
EPI_ISL_559435,England/ALDP-49A702/2020,2020-06-13,Human
EPI_ISL_904334,mink/Netherlands/NB-EMC-52-16/2020,2020,Mink
EPI_ISL_1228263,USA/NY-Wadsworth-21020496-01/2021,2021-02-03,Human
EPI_ISL_1666665,Canada/NS-NML-1684/2020,2020-03-27,Human
EPI_ISL_983282,USA/NY-Wadsworth-21007997-01/2021,2021-01-06,Human
EPI_ISL_1234150,USA/CO-CDPHE-2100506704/2021,2021-02-24,Human
EPI_ISL_2191543,USA/TX-HMH-MCoV-32898/2020,2020-12-26,Human
EPI_ISL_1994200,USA/MI-MDHHS-SC27839/2021,2021-03-25,Human
EPI_ISL_476083,Switzerland/BE-ETHZ-140004/2020,2020-05-16,Human
EPI_ISL_578660,USA/WI-WSLH-200520/2020,2020-05-27,Human
EPI_ISL_471896,USA/MI-MDHHS-SC20875/2020,2020-05-15,Human
EPI_ISL_2246297,USA/MI-MDHHS-SC26793/2020,2020-04-18,Human
EPI_ISL_1039145,Russia/MOW-RII-MH13880S/2020,2020-11-18,Human
EPI_ISL_8193909,Egypt/NRC-6006/2020,2020-06-23,Human
EPI_ISL_1340153,USA/FL-CDC-STM-000029437/2021,2021-03-04,Human
EPI_ISL_4275111,Norway/2923/2020,2020-07-13,Human
EPI_ISL_1823800,USA/AR-CDC-2-4243257/2021,2021-04-08,Human
EPI_ISL_2462439,USA/OH-ODH-SC048289/2020,2020-06-28,Human
EPI_ISL_1381923,USA/VA-DCLS-3032/2020,2020-12-15,Human
EPI_ISL_3647689,Turkey/HSGM-D15294/2021,2021-08-19,Human
EPI_ISL_683116,mink/Denmark/mDK-263/2020,2020-11-09,Mink
EPI_ISL_1742444,USA/WV-WVU-WV064622/2021,2021-01-23,Human
EPI_ISL_450258,Russia/StPetersburg-RII7553S/2020,2020-04-21,Human
EPI_ISL_7406271,USA/VA-VCUVAS3-GQWB741082/2021,2021,Human
EPI_ISL_848729,USA/FL-BPHL-2566/2020,2020-11-24,Human
EPI_ISL_1457548,Netherlands/OV-RIVM-20910/2021,2021-03-17,Human
EPI_ISL_955757,USA/CA-CZB-19374/2020,2020-12-30,Human
EPI_ISL_2246381,USA/MI-MDHHS-SC26941/2020,2020-05-14,Human
EPI_ISL_840828,Wales/PHWC-4B2B26/2020,2020,Human
EPI_ISL_1675190,USA/MD-NIH-00581/2021,2021-03-10,Human
EPI_ISL_979762,USA/CA-CZB-19168/2020,2020-12-07,Human
EPI_ISL_2100806,USA/OH-21AM-013CO00341/2021,2021-01-13,Human
EPI_ISL_3050754,mink/Denmark/mDK-790/2020,2020-08-11,Mink
EPI_ISL_593959,USA/DE-DHSS-F918421/2020,2020-03-31,Human
EPI_ISL_7856663,USA/CA-CDPH-2000011326/2020,2020-12-12,Human
EPI_ISL_2900304,England/ALDP-9E807E/2020,2020-09-24,Human
EPI_ISL_523039,mink/Netherlands/NB-EMC-17-6/2020,2020-07-02,Mink
EPI_ISL_631802,USA/NY-NYCPHL-000276/2020,2020-03-19,Human
EPI_ISL_3319759,USA/OR-OHSU-212010167/2021,2021-07-20,Human
EPI_ISL_694942,USA/AZ-TG408206/2020,2020-06-17,Human
EPI_ISL_7161387,England/PHEC-3U049U4A/2021,2021-11-22,Human
EPI_ISL_520697,UnitedArabEmirates/L3290250769/2020,2020-05-20,Human
EPI_ISL_1086790,USA/MO-CDC-QDX21493355/2021,2021-01-27,Human
EPI_ISL_1525243,USA/NY-CDC-ASC210015026/2021,2021-03-20,Human
EPI_ISL_4036705,Peru/HUV-INS-3806/2021,2021-07-08,Human
EPI_ISL_4700627,France/PAC-IHU--32226_Nova/2020,2020-03,Human
EPI_ISL_2984664,Turkey/HSGM-B16954/2021,2021-06-16,Human
EPI_ISL_904356,mink/Netherlands/NB-EMC-53-31/2020,2020,Mink
EPI_ISL_586487,Canada/ON-S919/2020,2020-04-13,Human
EPI_ISL_577755,mink/Netherlands/NB-EMC-29-1/2020,2020-08-12,Mink
EPI_ISL_1087463,USA/MO-CDC-QDX21673510/2021,2021-02-02,Human
EPI_ISL_7617509,Canada/QC-1nDJXQ-2008002274A/2020,2020-03-20,Human
EPI_ISL_3015856,Sweden/01_SE100_21CS505379/2020,2020-04-09,Human
EPI_ISL_5461622,USA/AZ-ASU18489/2021,2021-10-12,Human
EPI_ISL_981986,USA/AZ-TG712241/2021,2021-01-06,Human
EPI_ISL_9040338,USA/MT-WL-822/2020,2020-10-06,Human
EPI_ISL_544331,USA/TX-HMH-4789/2020,2020-06-22,Human
EPI_ISL_4985676,USA/FL-CDC-QDX21872580/2021,2021-02-09,Human
EPI_ISL_653422,USA/LA-EVTL731/2020,2020-07-16,Human
EPI_ISL_967320,USA/WA-CDC-STM-000001640/2021,2021-01-14,Human
EPI_ISL_2938981,Canada/AB-ABPHL-20145/2021,2021-06-15,Human
EPI_ISL_6814822,Zambia/ZMBID_4419/2021,2021-04-14,Human
EPI_ISL_1038332,USA/MO-CDC-LC0011519/2021,2021-01-28,Human
EPI_ISL_1228410,USA/NY-Wadsworth-21013526-01/2021,2021-01-21,Human
EPI_ISL_1182893,Canada/ON-PHL-20-01114/2020,2020-05,Human
EPI_ISL_733415,Russia/SVE-RII-MH9209S/2020,2020-10-03,Human
EPI_ISL_3245468,USA/NY-NYULH2356/2021,2021-06-30,Human
EPI_ISL_8131236,Mexico/SIN-CIAD-CLN-L0283/2021,2021-11-17,Environment
EPI_ISL_1139874,USA/CA-CDC-QDX22058644/2021,2021-02-09,Human
EPI_ISL_979166,USA/CA-CZB-19211/2020,2020-12-11,Human
EPI_ISL_5383952,USA/TX-HMH-MCoV-49381/2020,2020-07-15,Human
EPI_ISL_6970484,Brazil/RJ-LNN07087/2021,2021-10-29,Human
EPI_ISL_1586872,Iceland/1208/2020,2020-03-23,Human
EPI_ISL_1027766,USA/MO-CDC-LC0000294/2020,2020-12-26,Human
EPI_ISL_6267011,USA/CA-CDPH-2000022401/2021,2021-01-09,Human
EPI_ISL_2102802,USA/CA-CZB-30731/2020,2020-11-03,Human
EPI_ISL_788954,Italy/APU-PODV-15925058/2020,2020-08-18,Human
EPI_ISL_2991071,USA/FL-Path-Saliva-538/2021,2021-01,Human
EPI_ISL_523077,mink/Netherlands/NB-EMC-23-2/2020,2020-07-14,Mink
EPI_ISL_3068074,SouthAfrica/Tygerberg_54/2020,2020-04-12,Human
EPI_ISL_2380024,Malaysia/UNIMAS-B195/2021,2021-01-03,Human
EPI_ISL_1169808,USA/CO-CDPHE-2100459217/2021,2021-02-21,Human
EPI_ISL_774901,Bangladesh/DNAS_DRCIM_isl_75/2020,2020-04-29,Human
EPI_ISL_1324177,USA/LA-EVTL2147/2020,2020-09-08,Human
EPI_ISL_832954,USA/ME-HETL-J0651/2020,2020-12-29,Human
EPI_ISL_1238530,USA/TX-HMH-MCoV-28746/2021,2021-02-05,Human
EPI_ISL_486661,Italy/LOM-ASST-5/2020,2020-03-02,Human
EPI_ISL_427494,USA/NY-NYUMC199/2020,2020-04-01,Human
EPI_ISL_641487,mink/Denmark/mDK-95/2020,2020-09-14,Mink
EPI_ISL_548278,USA/CA-CZB-3360/2020,2020-07-14,Human
EPI_ISL_883000,USA/MD-MDH-0648/2021,2021-01-12,Human
EPI_ISL_481717,Finland/7May75S23/2020,2020-05-07,Human
EPI_ISL_6088026,lion/USA/CO-21-031946-005/2021,2021-10-14,Panthera leo
EPI_ISL_460701,Netherlands/NA_528/2020,2020-03-25,Human
EPI_ISL_1534203,Spain/RI-IBV-99025674/2021,2021-03-04,Human
EPI_ISL_683213,mink/Denmark/mDK-461/2020,2020-10-23,Mink
EPI_ISL_1079605,USA/TX-HMH-MCoV-24991/2021,2021-01-19,Human
EPI_ISL_421729,USA/NY-NYUMC117/2020,2020-03-18,Human
EPI_ISL_1231675,USA/CA-RD631-CV0065/2021,2021-03-06,Human
EPI_ISL_2190567,USA/TX-HMH-MCoV-31931/2020,2020-12-21,Human
EPI_ISL_8009225,USA/IL-IDPH-SAN-S-0001226/2020,2020-07-01,Human
EPI_ISL_440869,England/LIVE-9B69F/2020,2020-04-20,Human
EPI_ISL_3716606,Madagascar/IPM-32491/2020,2020-08-28,Human
EPI_ISL_1091597,USA/OH-USAFSAM-S0656/2021,2021-02-01,Human
EPI_ISL_1014981,mink/USA/WI-CDC-3892586-001/2020,2020-10-13,Mink
EPI_ISL_6157263,USA/VA-VCUVAS3-ZTYC912786/2021,2021,Human
EPI_ISL_594217,USA/MI-MDHHS-SC22105/2020,2020-05-19,Human
EPI_ISL_3000218,England/ARCH-000695-PC/2021,2021,Human
EPI_ISL_2984624,Turkey/HSGM-B16851/2021,2021-06-16,Human
EPI_ISL_3088609,USA/AZ-TG974218/2020,2020-09-24,Human
EPI_ISL_964943,Mozambique/INS-K008135/2021,2021-01-15,Human
EPI_ISL_566042,tiger/USA/NY-4-040420/2020,2020-04-04,Panthera tigris jacksoni
EPI_ISL_2088383,USA/MN-CDC-IBX142529937541/2021,2021-04-21,Human
EPI_ISL_765610,USA/MA-MGH-02740/2020,2020-09-25,Human
EPI_ISL_2923967,USA/NY-PRL-2021_0706_51F19/2020,2020-10-28,Human
EPI_ISL_979172,USA/CA-CZB-19219/2020,2020-12-13,Human
EPI_ISL_925343,mink/USA/MI-CDC-3886540-001/2020,2020-10-13,Mink
EPI_ISL_1064365,USA/MD-MDH-1020/2021,2021-02-16,Human
EPI_ISL_1443776,USA/KS-KHEL-0787/2020,2020-10-20,Human
EPI_ISL_887617,USA/KS-CDC-LC00002420/2021,2021-01-02,Human
EPI_ISL_1074745,USA/TX-HMH-MCoV-20303/2021,2021-01-04,Human
EPI_ISL_2289915,USA/UT-UPHL-2103183585/2021,2021-01-21,Human
EPI_ISL_814416,Wales/PHWC-4A6F92/2020,2020-11-25,Human
EPI_ISL_792320,Argentina/PAIS-A0239/2020,2020-04-13,Human
EPI_ISL_1137053,USA/KS-KHEL-0350/2020,2020-12-31,Human
EPI_ISL_1265581,France/ARA-HCL990000323206/2021,2021-02-24,Human
EPI_ISL_7580405,USA/CA-CDPH-2000013864/2020,2020-12-15,Human
EPI_ISL_8683443,Germany/BB-RKI-I-434268/2022,2022-01-07,Human
EPI_ISL_694822,USA/AZ-TG396366/2020,2020-06-11,Human
EPI_ISL_2928444,tiger/USA/TN-20-031353-001/2020,2020-10-19,Panthera tigris jacksoni
EPI_ISL_5316912,india/DL_IGIB11304423/2020,2020,Human
EPI_ISL_2246369,USA/MI-MDHHS-SC26929/2020,2020-04-30,Human
EPI_ISL_2596317,France/PAC-IHU-11541_Illu1/2020,2020-04-14,Human
EPI_ISL_4461069,Austria/CeMM16209/2021,2021-09-01,Human
EPI_ISL_2858196,USA/UT-UPHL-210628946250/2021,2021-01-14,Human
EPI_ISL_673342,England/CAMC-B993BD/2020,2020-11-15,Human
EPI_ISL_1513477,USA/NC-CDC-ASC210012500/2021,2021-03-19,Human
EPI_ISL_579370,NewZealand/20VR2950/2020,2020,Human
EPI_ISL_1197807,Sweden/SE00228378/2021,2021-02-08,Human
EPI_ISL_6282800,England/PHEP-YYBHY4T/2021,2021,Human
EPI_ISL_3088792,USA/AZ-TG974035/2020,2020-08-28,Human
EPI_ISL_5443513,USA/CA-CDPH-2000014514/2020,2020-12-15,Human
EPI_ISL_641453,mink/Denmark/mDK-61/2020,2020-09-22,Mink
EPI_ISL_575081,USA/UT-UPHL-02807/2020,2020-04-23,Human
EPI_ISL_1916211,Spain/VC-IBV-98019171/2020,2020-12-18,Human
EPI_ISL_473900,Scotland/EDB6171/2020,2020-05-15,Human
EPI_ISL_6331276,France/PAC-IHU-37291-Nova1M/2020,2020-01,Human
EPI_ISL_4252326,Kenya/ILRI_COVC13752/2020,2020-10-12,Human
EPI_ISL_1751195,dog/Germany/BY-MVP-000002394/2020,2020-11-24,Canis lupus familiaris
EPI_ISL_822311,NorthernIreland/CAMC-A41A92/2020,2020-10-05,Human
EPI_ISL_1319513,USA/NJ-CDC-LC0021995/2021,2021-02-25,Human
EPI_ISL_5696119,USA/CA-CDPH-MC1150977/2020,2020-10-10,Human
EPI_ISL_2689136,USA/NE-MP_NCOV20-28033/2020,2020-06-17,Human
EPI_ISL_4109837,India/OD-IGIB-Q9920082/2021,2021,Human
EPI_ISL_2438860,CzechRepublic/NRL_2149/2021,2021-02-07,Human
EPI_ISL_1315997,England/CAMC-13B02C7/2021,2021-03-09,Human
EPI_ISL_5858433,snowleopard/USA/CA-21-022131-001/2021,2021-07-26,Panthera uncia
EPI_ISL_2403570,Turkey/HSGM-B2649/2021,2021-03-30,Human
EPI_ISL_527959,Switzerland/BS-UHB-42181950/2020,2020-03-09,Human
EPI_ISL_2312729,USA/OH-21AM-023CO02548/2021,2021-01-23,Human
EPI_ISL_967092,USA/FL-CDC-STM-000005377/2021,2021-01-23,Human
EPI_ISL_2969353,USA/CA-CDPH-2000021203/2021,2021-01-03,Human
EPI_ISL_7858160,USA/CA-CDPH-2000010859/2020,2020-12-12,Human
EPI_ISL_4057950,USA/NY-CDC-ASC210273517/2021,2021-08-03,Human
EPI_ISL_4744426,USA/AZ-ASU16001/2021,2021-01-25,Human
EPI_ISL_551419,England/ALDP-8FBEE8/2020,2020-06-24,Human
EPI_ISL_6960593,Brazil/SP-BTA318/2021,2021-11-08,Human
EPI_ISL_2896966,USA/WI-MCW-CA044/2020,2020-04-01,Human
EPI_ISL_558215,England/ALDP-652A74/2020,2020-07-04,Human
EPI_ISL_478934,England/OXON-B0AA7/2020,2020,Human
EPI_ISL_525432,Ecuador/USFQ-178/2020,2020-08-12,Human
EPI_ISL_6565629,USA/FL-BPHL-14743/2021,2021-01-27,Human
EPI_ISL_460020,USA/MI-MDHHS-SC20481/2020,2020-03-31,Human
EPI_ISL_2158059,Turkey/HSGM-B11293/2021,2021-04-28,Human
EPI_ISL_2941578,USA/CO-CDPHE-2010220827/2020,2020-10-20,Human
EPI_ISL_1014977,mink/USA/WI-CDC-3892579-001/2020,2020-10-13,Mink
EPI_ISL_4547515,Russia/MOS-CRIE-L186L0074u/2021,2021-08-13,Human
EPI_ISL_471831,USA/MI-MDHHS-SC20810/2020,2020-05-20,Human
EPI_ISL_2732409,England/BHRT-24B7754/2021,2021,Human
EPI_ISL_578141,USA/MI-UM-10033852420/2020,2020-04-04,Human
EPI_ISL_4700062,France/PAC-IHU--32431_Nova/2021,2021-08,Human
EPI_ISL_936143,USA/NY-Wadsworth-21013820-01/2021,2021-01-05,Human
EPI_ISL_471191,USA/WI-WSLH-200026/2020,2020-04-17,Human
EPI_ISL_6425285,deer/USA/IA-207150/2020,2020-11-15,Odocoileus virginianus
EPI_ISL_979175,USA/CA-CZB-19222/2020,2020-12-14,Human
EPI_ISL_1339614,USA/WV-CDC-LC0026737/2021,2021-03-08,Human
EPI_ISL_1132671,SouthAfrica/VIDA-KRISP-CP157402850/2020,2020-12-23,Human
EPI_ISL_903312,USA/IA-UIHC-MO01/2020,2020-06-08,Human
EPI_ISL_1382906,Spain/NC-CHN-01000355/2020,2020-05-04,Human
EPI_ISL_422562,USA/NY-PV09309/2020,2020-03-22,Human
EPI_ISL_683297,mink/Denmark/mDK-560/2020,2020-10-19,Mink
EPI_ISL_4252138,Kenya/ILRI_COVC21011/2020,2020-11-10,Human
EPI_ISL_491400,USA/WI-UW-725/2020,2020-06-30,Human
EPI_ISL_508693,Germany/BW-UT-014/2020,2020-05-20,Human
EPI_ISL_1038582,USA/MO-CDC-LC0012174/2021,2021-01-30,Human
EPI_ISL_1079780,USA/TX-HMH-MCoV-25155/2021,2021-01-19,Human
EPI_ISL_1622531,Spain/NC-CHN-01001074/2021,2021-02-04,Human
EPI_ISL_2984750,Turkey/HSGM-B17179/2021,2021-06-16,Human
EPI_ISL_2649791,TrinidadandTobago/64985/2021,2021-04-26,Human
EPI_ISL_2223801,USA/TX-HMH-MCoV-40618/2020,2020-07-22,Human
EPI_ISL_2989903,USA/FL-Shands-VTM-444/2021,2021-02,Human
EPI_ISL_1880371,Denmark/DCGC-71800/2021,2021-02-22,Human
EPI_ISL_4700797,France/PAC-IHU--33585_Nova1/2020,2020-03,Human
EPI_ISL_1857359,USA/WY-WYPHL20158925/2020,2020-12-04,Human
EPI_ISL_1028681,USA/MD-CDC-LC0000393/2020,2020-12-27,Human
EPI_ISL_2818198,NorthernIreland/PHEC-L30AL1C4/2021,2021,Human
EPI_ISL_7162145,USA/OH-PLMI-HFLL5-05986/2021,2021,Human
EPI_ISL_1129290,Switzerland/AG-ETHZ-490278/2021,2021-02-05,Human
EPI_ISL_849338,USA/DE-DHSS-FLW00611304/2021,2021-01-04,Human
EPI_ISL_935696,USA/TX-HHD-2102024910/2020,2020-12-23,Human
EPI_ISL_2206823,USA/TX-HMH-MCoV-36532/2020,2020-12-09,Human
EPI_ISL_541055,Spain/GA-IBV-98006064/2020,2020-04-17,Human
EPI_ISL_1320565,USA/VA-CDC-LC0022772/2021,2021-03-02,Human
EPI_ISL_1460452,USA/CA-CDC-FG-008048/2021,2021-03-10,Human
EPI_ISL_1185122,USA/CA-CZB-24165/2021,2021-01-04,Human
EPI_ISL_1339486,USA/WV-CDC-LC0027135/2021,2021-03-05,Human
EPI_ISL_1622532,Spain/NC-CHN-01001075/2021,2021-02-04,Human
EPI_ISL_5440514,USA/CO-CDPHE-2007020430/2020,2020-06-30,Human
EPI_ISL_955510,USA/CA-CZB-17336/2020,2020-11-29,Human
EPI_ISL_683065,mink/Denmark/mDK-214/2020,2020-11-02,Mink
EPI_ISL_754930,USA/CA-CDPH041/2020,2020-04-28,Human
EPI_ISL_6825895,Israel/ICH-760596650/2021,2021-11-21,Human
EPI_ISL_949196,Spain/CT-IBV-99012709/2020,2020-09-07,Human
EPI_ISL_452790,India/MP-NIHSAD-2604-22/2020,2020-04-24,Human
EPI_ISL_2214723,USA/TX-HMH-MCoV-39090/2020,2020-12-03,Human
EPI_ISL_1035211,Netherlands/UT-RIVM-13055/2021,2021-02-10,Human
EPI_ISL_3414690,Turkey/HSGM-FS5263/2021,2021-08-07,Human
EPI_ISL_3376985,lion/Sweden/SVA210116SZ851481/2021,2021-01-12,Panthera leo
EPI_ISL_5123551,Morocco/FMP-206/2021,2021-03-24,Human
EPI_ISL_1969506,USA/CA-SEARCH-9650/2020,2020-08-28,Human
EPI_ISL_5872526,Canada/QC-L00348137/2021,2021-04-16,Human
EPI_ISL_8164095,Belgium/Jessa_55-2151-000574/2021,2021-12-22,Human
EPI_ISL_1150156,Germany/NW-RKI-I-019994/2021,2021-02-13,Human
EPI_ISL_1112706,Canada/ON-PHL-20-80651/2020,2020-04,Human
EPI_ISL_8682500,Germany/NW-RKI-I-433446/2022,2022-01-11,Human
EPI_ISL_577771,mink/Netherlands/NB-EMC-34-5/2020,2020-08-18,Mink
EPI_ISL_1394593,USA/NY-Wadsworth-21017261-01/2021,2021-01-29,Human
EPI_ISL_523097,mink/Netherlands/NB-EMC-5-13/2020,2020-05-30,Mink
EPI_ISL_738776,USA/CA-CZB-13884/2020,2020-08-11,Human
EPI_ISL_1094954,USA/KY-CDC-2-4069117/2021,2021-01-08,Human
EPI_ISL_1501164,France/IDF-APHP-HEGP-12-13-2137019513/2021,2021-03-03,Human
EPI_ISL_2132226,Belgium/UMONS-L690317701/2021,2021-05-02,Human
EPI_ISL_888216,USA/NJ-CDC-LC00001336/2020,2020-12-27,Human
EPI_ISL_1087343,USA/NY-NYULH329/2021,2021-02-03,Human
EPI_ISL_721478,England/ALDP-BC7B54/2020,2020-11-23,Human
EPI_ISL_4418211,Japan/CA057/2020,2020-04-21,Human
EPI_ISL_683143,mink/Denmark/mDK-294/2020,2020-11-10,Mink
EPI_ISL_1528644,USA/WV-WVU-WV090356/2020,2020-12-28,Human
EPI_ISL_751742,USA/IA-CDC-2-3714359/2020,2020-11-28,Human
EPI_ISL_1227310,USA/NY-Wadsworth-21012134-01/2021,2021-01-14,Human
EPI_ISL_619441,Denmark/DCGC-6541/2020,2020-10-05,Human
EPI_ISL_683177,mink/Denmark/mDK-328/2020,2020-11-13,Mink
EPI_ISL_457859,Kenya/C1377/2020,2020-04-20,Human
EPI_ISL_3691463,India/TN-ICMR-MCL_3764_4811/2021,2021,Human
EPI_ISL_1090426,USA/CA-CDC-QDX21874602/2021,2021-02-09,Human
EPI_ISL_1193522,USA/CA-CDC-QDX22163993/2021,2021-02-18,Human
EPI_ISL_641494,mink/Denmark/mDK-103/2020,2020-09-15,Mink
EPI_ISL_6329990,France/PAC-IHU-39739_Nova1/2020,2020-04,Human
EPI_ISL_577805,mink/Netherlands/NB-EMC-46-10/2020,2020-09-02,Mink
EPI_ISL_1182872,Canada/ON-PHL-20-00142/2020,2020-05,Human
